region_id,region,anchor_county,county_name,SCH_NAME,LEA_NAME,school_level,school_type,zip5
1.0,Group 1 - Columbus Core,Franklin,Franklin,Chapelfield Elementary School,Gahanna-Jefferson City,Elementary,Regular School,43230
1.0,Group 1 - Columbus Core,Franklin,Franklin,Charles School at Ohio Dominican University,Charles School at Ohio Dominican University,High,Regular School,43219
1.0,Group 1 - Columbus Core,Franklin,Franklin,Cherrington Elementary School,Westerville City,Elementary,Regular School,43081
1.0,Group 1 - Columbus Core,Franklin,Franklin,Clinton Elementary School,Columbus City Schools District,Elementary,Regular School,43202
1.0,Group 1 - Columbus Core,Franklin,Franklin,Colerain Elementary School,Columbus City Schools District,Elementary,Regular School,43214
1.0,Group 1 - Columbus Core,Franklin,Franklin,Colonial Hills Elementary School,Worthington City,Elementary,Regular School,43085
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Africentric Early College ES,Columbus City Schools District,Elementary,Regular School,43209
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Africentric Early College High School,Columbus City Schools District,High,Regular School,43209
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Africentric Early College Middle School,Columbus City Schools District,Middle,Regular School,43209
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Alternative High School,Columbus City Schools District,High,Regular School,43211
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Arts & Technology Academy,Columbus Arts & Technology Academy,Other,Regular School,43232
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Bilingual Academy-North,Columbus Bilingual Academy-North,Elementary,Regular School,43229
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus City Preparatory School for Boys,Columbus City Schools District,Middle,Regular School,43213
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus City Preparatory School for Girls,Columbus City Schools District,Middle,Regular School,43205
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Downtown High School,Columbus City Schools District,High,Career and Technical School,43215
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Humanities Arts and Technology Academy,Columbus Humanities Arts and Technology Academy,Elementary,Regular School,43229
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus International High School,Columbus City Schools District,High,Regular School,43224
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Online Academy,Columbus City Schools District,High,Regular School,43227
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Performance Academy,Columbus Performance Academy,Elementary,Regular School,43219
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Preparatory Academy,Columbus Preparatory Academy,Other,Regular School,43204
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Preparatory and Fitness Academy,Columbus Preparatory and Fitness Academy,Elementary,Regular School,43204
1.0,Group 1 - Columbus Core,Franklin,Franklin,Columbus Spanish Immersion K-7 School,Columbus City Schools District,Elementary,Regular School,43224
1.0,Group 1 - Columbus Core,Franklin,Franklin,Como Elementary School,Columbus City Schools District,Elementary,Regular School,43224
1.0,Group 1 - Columbus Core,Franklin,Franklin,Cornerstone Academy Community School,Cornerstone Academy Community School,Other,Regular School,43081
1.0,Group 1 - Columbus Core,Franklin,Franklin,Cranbrook Elementary School,Columbus City Schools District,Elementary,Regular School,43221
1.0,Group 1 - Columbus Core,Franklin,Franklin,Daniel Wright Elementary School,Dublin City,Elementary,Regular School,43235
1.0,Group 1 - Columbus Core,Franklin,Franklin,Darby Creek Elementary School,Hilliard City,Elementary,Regular School,43026
1.0,Group 1 - Columbus Core,Franklin,Franklin,Darby Woods Elementary School,South-Western City,Elementary,Regular School,43119
1.0,Group 1 - Columbus Core,Franklin,Franklin,Darbydale Elementary School,South-Western City,Elementary,Regular School,43123
1.0,Group 1 - Columbus Core,Franklin,Franklin,Deer Run Elementary School,Dublin City,Elementary,Regular School,43017
1.0,Group 1 - Columbus Core,Franklin,Franklin,Devonshire Alternative Elementary School,Columbus City Schools District,Elementary,Regular School,43229
1.0,Group 1 - Columbus Core,Franklin,Franklin,Dominion Middle School,Columbus City Schools District,Middle,Regular School,43202
1.0,Group 1 - Columbus Core,Franklin,Franklin,Dublin Coffman High School,Dublin City,High,Regular School,43017
1.0,Group 1 - Columbus Core,Franklin,Franklin,Dublin Jerome High School,Dublin City,High,Regular School,43016
1.0,Group 1 - Columbus Core,Franklin,Franklin,Dublin Preschool,Dublin City,Prekindergarten,Regular School,43017
1.0,Group 1 - Columbus Core,Franklin,Franklin,Dublin Scioto High School,Dublin City,High,Regular School,43016
